Library,Age,Mutant
GK170301_001,young,wildtype
GK170301_002,young,wildtype
GK170301_003,old,wildtype
GK170301_004,young,knock-in
GK170301_005,young,knock-in
GK170301_006,old,knock-in
GK170301_007,young,wildtype
GK170301_008,old,wildtype
GK170301_009,old,wildtype
GK170301_010,young,knock-in
GK170301_011,old,knock-in
GK170301_012,old,knock-in
GK170301_013,young,wildtype
GK170301_014,young,wildtype
GK170301_015,old,wildtype
GK170301_016,young,knock-in
GK170301_017,young,knock-in
GK170301_018,old,knock-in
GK170301_019,young,wildtype
GK170301_020,old,wildtype
GK170301_021,old,wildtype
GK170301_022,young,knock-in
GK170301_023,old,knock-in
GK170301_024,old,knock-in
